input,ans1,ans2,ans3,length
"When did Frances Vane, Marchioness Of Londonderry's father die?",FALSE,FALSE,FALSE,"2,765"
"Which film has the director who is older than the other, Season Of Strangers or The Yellow Teddy Bears? ",TRUE,TRUE,TRUE,"6,966"
Were Jake Eisenhart and Michael T. Ullman of the same nationality?,TRUE,TRUE,FALSE,"4,450"
"Who was born first, Antoine Casavant or Abdul Ali Lalu?",TRUE,TRUE,TRUE,"3,131"
Where did Rameshwari Nehru's husband graduate from?,TRUE,TRUE,TRUE,"4,103"
"Who is the paternal grandfather of Sir John Hamilton-Dalrymple, 5Th Baronet?",FALSE,FALSE,FALSE,"2,932"
"Which film has the director who was born earlier, Khud-Daar or Murderer In The Fog?",TRUE,TRUE,TRUE,"2,692"
Who is the spouse of the director of film Soldier (1998 American Film)?,FALSE,TRUE,TRUE,"7,443"
"Where did Catherine Of Taranto, Countess Of Copertino's mother die?",FALSE,FALSE,FALSE,"3,523"
Which award the director of film Lady Magdalene'S got?,FALSE,FALSE,FALSE,"3,529"
What nationality is Princess Charlotte Of Saxe-Meiningen's husband?,FALSE,FALSE,FALSE,"4,847"
"Which film has the director who was born first, The Longshots or Station For Two?",TRUE,TRUE,TRUE,"9,998"
What is the place of birth of Aleksey Greig's father?,TRUE,TRUE,TRUE,"4,097"
When did Thomas Of Galloway (Bastard)'s father die?,FALSE,FALSE,FALSE,"9,182"
"When did Robert Bertie, 3Rd Earl Of Lindsey's father die?",FALSE,FALSE,FALSE,"6,136"
"Which film has the director born later, The Wind'S Fierce or Special Delivery (1927 Film)?",FALSE,TRUE,TRUE,"9,043"
Why did the director of film Port Of Seven Seas die?,TRUE,TRUE,FALSE,"8,169"
What is the place of birth of Abdulaziz Nasser Al Shamsi's wife?,FALSE,FALSE,FALSE,"3,593"
What is the place of birth of Frank Wartenberg's wife?,FALSE,FALSE,FALSE,"3,584"
Where was the director of film Edges Of The Lord born?,TRUE,TRUE,TRUE,"3,814"
Where was the father of Teobaldo Ii Ordelaffi born?,FALSE,TRUE,FALSE,"4,597"
Where was the husband of Maude Smith born?,FALSE,FALSE,FALSE,"3,366"
"Which film was released earlier, Forbidden Daughters or The Third Kiss?",FALSE,TRUE,TRUE,"4,389"
Does Leslie Pietrzyk have the same nationality as Marianne Wiggins?,TRUE,TRUE,TRUE,"4,958"
"Who was born first, Bogdan Țăruș or Robert Wulnikowski?",TRUE,TRUE,TRUE,"3,425"
"Which film has the director who died first, Folgore Division or Sandflow?",TRUE,TRUE,TRUE,"1,945"
"Which film has the director born later, From Corleone To Brooklyn or Durango Valley Raiders?",TRUE,TRUE,TRUE,"3,894"
Are both Howard Lake (British Columbia) and North Buck Lake (Alberta) located in the same country?,TRUE,TRUE,TRUE,667
Where was the place of death of the composer of song Gretchen Am Spinnrade?,FALSE,FALSE,FALSE,"10,974"
"Who was born later, Hugh Evelyn Wortham or Johnny Ekström?",FALSE,FALSE,FALSE,"6,044"
"Are both mountains, Yana Urqu (Q'Umirqucha) and Puka Rumi, located in the same country?",FALSE,FALSE,FALSE,592
What nationality is Elizabeth Of Rhuddlan's father?,TRUE,TRUE,TRUE,"11,950"
"What is the cause of death of director of film I Will, I Will... For Now?",FALSE,FALSE,FALSE,"4,337"
"Who is Maurice De Berkeley, 4Th Baron Berkeley's maternal grandfather?",FALSE,FALSE,FALSE,"3,947"
"Who died first, Albertus Seba or Ali Dinar?",TRUE,TRUE,TRUE,"4,441"
"Who is the maternal grandfather of Marie Louise, Duchess Of Parma?",FALSE,FALSE,FALSE,"8,935"
"Which film was released earlier, Prince Of Arcadia or Italia-Germania 4-3?",TRUE,TRUE,TRUE,"3,155"
Where was the director of film Love At First Sight (1985 Film) born?,FALSE,FALSE,FALSE,"3,195"
Where did the director of film Nanon (1938 Film) die?,FALSE,FALSE,FALSE,"3,719"
