input,ans1,ans2,ans3,length
"Which film has the director who is older than the other, The Man With The Glass Eye or The Pom Pom Girls? ",TRUE,TRUE,TRUE,"1,529"
"Who is older, Maksim Kedrin or Peggy Pettitt?",FALSE,FALSE,FALSE,"2,246"
"Which film was released more recently, Free China: The Courage To Believe or The Rebel Set?",TRUE,TRUE,TRUE,"2,880"
"Are both villages, Little Rock Village and Jamal Beyg, located in the same country?",FALSE,FALSE,FALSE,"3,075"
"Which film whose director is younger, The Goose Woman or You Can No Longer Remain Silent?",FALSE,FALSE,FALSE,"3,099"
Where was the director of film La Grande Meute born?,FALSE,FALSE,TRUE,"2,556"
Are Edmonton/Twin Island Airpark and Mayerthorpe Airport located in the same country?,TRUE,TRUE,TRUE,"1,594"
"Which film has the director who was born later, The Man Is Armed or Wolf Warrior?",TRUE,TRUE,TRUE,"3,775"
Where did the director of film I Live On Danger die?,FALSE,FALSE,FALSE,"3,654"
"Which film came out earlier, Just Friends or Enkeyo Ketta Kural?",TRUE,TRUE,TRUE,"3,828"
Who is Domhnall Mac Alasdair's paternal grandfather?,FALSE,FALSE,FALSE,"3,193"
"Who is John Of Luxembourg, Count Of Soissons's maternal grandfather?",FALSE,FALSE,FALSE,"2,549"
What is the cause of death of director of film Disgraced!?,TRUE,TRUE,TRUE,"3,722"
Which country the director of film Mrs. Gibbons' Boys (Film) is from?,FALSE,FALSE,FALSE,"3,256"
"Who is the mother of Nicholas Crispo, Lord Of Syros?",FALSE,FALSE,FALSE,"3,155"
"Who is the paternal grandfather of Louis Iv, Count Of Chiny?",FALSE,FALSE,FALSE,"2,553"
"What is the date of birth of George Ernest, Count Of Erbach-Wildenstein's father?",FALSE,FALSE,FALSE,"2,670"
What nationality is the director of film World And Time Enough?,FALSE,FALSE,FALSE,"3,303"
Where was the director of film The Dangerous Talent born?,FALSE,FALSE,FALSE,"2,666"
"Which album was released more recently, Full Length Lp or Blow In The Wind?",TRUE,TRUE,TRUE,"1,981"
Who is the paternal grandfather of Trịnh Doanh?,FALSE,FALSE,FALSE,"3,719"
Are Breville and Jakab Industries both located in the same country?,TRUE,TRUE,TRUE,"2,836"
"Which film was released more recently, Eager Bodies or We Dive At Dawn?",FALSE,FALSE,FALSE,"2,422"
Where was the director of film Ashwamedha (Film) born?,FALSE,FALSE,FALSE,"3,582"
"Which film has the director born earlier, Dos Basuras or Day Of The Painter?",FALSE,FALSE,FALSE,"2,193"
"Who was born first, Lương Hoàng Nam or Ross Mcmillan?",TRUE,TRUE,TRUE,"3,229"
"Which country Eric Longlegs, Lord Of Langeland's father is from?",FALSE,TRUE,FALSE,"3,321"
What is the place of birth of the director of film Northville Cemetery Massacre?,FALSE,FALSE,FALSE,"3,048"
Which country the director of film Secrets Of A Door-To-Door Salesman is from?,FALSE,FALSE,FALSE,"3,535"
Where did the director of film The Little Door Into The World die?,TRUE,TRUE,TRUE,"3,039"
Where was the place of death of the director of film The Divine Nymph?,TRUE,TRUE,TRUE,"2,976"
"Which film was released earlier, Battle For Brooklyn or Crime In The Streets?",TRUE,TRUE,TRUE,"2,916"
Where did Agnes Of Meissen's mother die?,FALSE,FALSE,FALSE,"3,614"
Which award the director of film Mithunam (2012 Film) received?,FALSE,FALSE,FALSE,"3,787"
Did Kenneth Duberstein and Lee Mcgeorge Durrell share the same nationality?,TRUE,TRUE,TRUE,"3,248"
"Are both museums, Halifax Historical Museum and William P. Didusch Center For Urologic History, located in the same country?",FALSE,FALSE,TRUE,"3,253"
Are Kakwa River and Bighead River located in the same country?,TRUE,TRUE,TRUE,"2,049"
"When is Henry Ii, Margrave Of The Nordmark's father's birthday?",FALSE,FALSE,FALSE,"2,816"
When is the director of film Les Tuche 2 's birthday?,TRUE,TRUE,TRUE,"1,252"
Do Thomas Wykes (Chronicler) and Robert Simpson (Meteorologist) have the same nationality?,FALSE,TRUE,FALSE,"2,859"
"Who is younger, Vrindavan Lal Verma or Kerem İnan?",FALSE,FALSE,FALSE,"1,507"
When was John Scott (Died 1533)'s father born?,FALSE,FALSE,FALSE,"3,218"
"Which film has the director who was born first, Our Crazy Aunts or Dearest (2014 Film)?",TRUE,TRUE,TRUE,"2,980"
What nationality is the director of film The Tower Of Lies?,TRUE,TRUE,TRUE,"3,823"
"Which film has the director who was born first, Who'S Your Brother? or The Last Outpost (1951 Film)?",FALSE,FALSE,FALSE,"3,621"
Where was the place of death of Halldóra Eldjárn's husband?,FALSE,FALSE,FALSE,"2,957"
What is the date of death of Parimala Nagappa's husband?,FALSE,FALSE,FALSE,987
Was Shahanuddin Choudhury or Domenico Distilo born first?,FALSE,FALSE,FALSE,"3,515"
"What is the date of death of William Jolliffe, 4Th Baron Hylton's father?",FALSE,FALSE,FALSE,"1,894"
Who is the father of the director of film Sources Of Life?,FALSE,FALSE,FALSE,"1,765"
Are both The Bloom Of Yesterday and Fireworks (1954 Film) from the same country?,TRUE,TRUE,TRUE,"2,436"
"Which film whose director is younger, Mr. Fix-It or People Not As Bad As They Seem?",FALSE,TRUE,TRUE,"3,513"
What is the place of birth of the director of film Sweet Substitute (Film)?,FALSE,FALSE,FALSE,"3,223"
"Which film came out earlier, Where Are You? I'M Here or Patnam Vachina Pativrathalu?",TRUE,TRUE,TRUE,"1,717"
"Which film has the director born first, Stella'S Oorlog or Don Juan In A Girls' School?",TRUE,TRUE,FALSE,"2,571"
"What is the date of birth of Magnus I, Duke Of Mecklenburg's mother?",TRUE,TRUE,FALSE,"2,826"
Are both directors of films It'S Never Too Late (1956 Film) and The Slaughter Rule from the same country?,TRUE,FALSE,TRUE,"3,934"
"Which film has the director died first, Mcguire Of The Mounted or The Man Unconquerable?",TRUE,TRUE,TRUE,"3,854"
"Who is Charles James Irwin Grant, 6Th Baron De Longueuil's paternal grandfather?",FALSE,FALSE,FALSE,"1,889"
"Which film has the director who is older than the other, Women'S Weapons or She Wants Me? ",FALSE,FALSE,FALSE,"2,753"
"Which film has the director who died earlier, Tangled Destinies or The Daltons' Women?",FALSE,FALSE,FALSE,"2,359"
"Which film has the director who died first, The Flesh Is Weak or One Does Not Play With Love?",FALSE,FALSE,TRUE,"3,272"
"Who was born first, Selahattin Seyhun or Nil Tun Maung?",FALSE,FALSE,FALSE,"2,905"
"Which film has the director born earlier, Everyone Else or The Girl From The Chartreuse?",FALSE,FALSE,TRUE,"2,974"
"Which film whose director is younger, College Lovers or The Dixie Flyer?",TRUE,TRUE,TRUE,"2,561"
Are Yadboro River and Pigna Barney River both located in the same country?,TRUE,TRUE,TRUE,"1,495"
What is the place of birth of the director of film Martian Child?,FALSE,FALSE,FALSE,"3,567"
"Which film has the director who was born later, A Cafe In Cairo or War Drums?",TRUE,TRUE,TRUE,"3,543"
"Who was born earlier, Helen Clifton or Steve Barancik?",FALSE,FALSE,FALSE,"1,405"
Where did the director of film Cloudy Sunday study?,TRUE,TRUE,TRUE,"3,821"
"Which film was released more recently, Hotel Reserve or Return To The Hiding Place?",TRUE,TRUE,TRUE,"3,994"
"When did Leka, Crown Prince Of Albania (Born 1982)'s mother die?",TRUE,TRUE,TRUE,"2,085"
Who is Carlo I Cybo-Malaspina's maternal grandfather?,FALSE,FALSE,FALSE,"3,571"
"Which film was released first, The Pirate'S Dream or Prem Mhanje Prem Mhanje Prem Asta?",FALSE,FALSE,FALSE,"2,804"
"Who lived longer, Fredy Schmidtke or Chou Meng-Tieh?",FALSE,FALSE,TRUE,"2,903"
What is the place of birth of the composer of song Ma Che Freddo Fa?,FALSE,FALSE,FALSE,"2,764"
"Which film was released earlier, Komaligal or Times Of Joy And Sorrow?",FALSE,TRUE,TRUE,"3,303"
Where was the place of death of Salin Mibaya's husband?,FALSE,FALSE,FALSE,"3,817"
What is the award that the composer of film Shivaay got?,TRUE,TRUE,TRUE,"3,191"
"Which film has the director who was born earlier, Born Into Brothels or Dr. Goldfoot And The Bikini Machine?",TRUE,TRUE,TRUE,"6,899"
What is the date of death of the director of film The Man Without A Country (1917 Film)?,FALSE,FALSE,FALSE,"6,662"
Who is the mother-in-law of Queen Insun?,FALSE,FALSE,FALSE,"7,168"
What is the place of birth of Princess Amalia Of Saxe-Weimar-Eisenach's husband?,FALSE,FALSE,FALSE,"6,147"
"Which country Albertine, Baroness Staël Von Holstein's father is from?",FALSE,FALSE,FALSE,"4,797"
"Who was born later, Faiz Muhammad or Guillermo Capetillo?",TRUE,TRUE,TRUE,"4,267"
Are the directors of both films When Lovers Part and Ladies In Distress from the same country?,FALSE,FALSE,FALSE,"4,132"
What nationality is the performer of song Mimi (Song)?,TRUE,TRUE,TRUE,"6,907"
"Who lived longer, Werner Mensching or Karel Zich?",TRUE,TRUE,TRUE,"4,774"
"Which film was released earlier, Nous, Princesses De Clèves or It'S A King?",TRUE,TRUE,TRUE,"4,098"
What is the date of birth of Alfonso Fadrique's father?,FALSE,FALSE,FALSE,"4,629"
Do both films A Trial In Prague and Three Strangers have the directors that share the same nationality?,TRUE,TRUE,TRUE,"4,176"
"Who was born later, Kiplangat Sang or Stein Erik Hagen?",TRUE,TRUE,TRUE,"4,003"
What is the place of birth of the director of film Confusion Na Wa?,FALSE,FALSE,FALSE,"5,240"
Where was the wife of Alfred L. Copley born?,FALSE,FALSE,FALSE,"4,396"
"Which film was released earlier, Pal Pal Dil Ke Paas or Another Earth?",TRUE,TRUE,TRUE,"5,575"
Which country Jakobea Of Baden's mother is from?,FALSE,FALSE,FALSE,"4,327"
Who is the child of the performer of song La Voix (Song)?,FALSE,FALSE,FALSE,"5,734"
Where was the father of Francesco I Acciaioli born?,TRUE,TRUE,TRUE,"4,864"
Where does the director of film Scarecrow (1984 Film) work at?,FALSE,FALSE,FALSE,"5,822"
Where did Elisabeth Zu Fürstenberg's husband die?,FALSE,FALSE,FALSE,"6,308"
What is the place of birth of the performer of song El Beso (Song)?,FALSE,FALSE,FALSE,"5,616"
What is the place of birth of the director of film Special When Lit?,FALSE,FALSE,FALSE,"4,287"
Who is the uncle of John Of Brienne?,FALSE,FALSE,FALSE,"6,815"
"Which film has the director who died earlier, Deuces Wild or Cavalcade Of The West?",TRUE,TRUE,FALSE,"4,759"
"Which film has the director died later, The Rebellion Of The Brides or Arizona Gang Busters?",TRUE,TRUE,TRUE,"4,961"
"What nationality is Henry Clifford, 2Nd Earl Of Cumberland's wife?",FALSE,FALSE,FALSE,"4,993"
Are director of film Tactical Force and director of film Jumanji from the same country?,TRUE,TRUE,TRUE,"7,056"
Where was the place of death of Thaddeus P. Mott's father?,FALSE,FALSE,FALSE,"5,794"
"Who was born later, Paul De Scherff or Lyudmyla Olyanovska?",TRUE,TRUE,TRUE,"6,417"
Do both films: A Slave Of Vanity and Grace Of My Heart have the directors from the same country?,TRUE,TRUE,TRUE,"5,421"
Where was the father of Bonne Of Bourbon born?,FALSE,FALSE,FALSE,"5,848"
"Which film came out first, Su-Ki-Da or Tales From The Golden Age?",TRUE,TRUE,TRUE,"5,606"
"Which film has the director who was born later, Dead Man'S Letters or The Dance Of Death (1967 Film)?",TRUE,TRUE,TRUE,"5,645"
Who is the father of the performer of song Everybody Needs A Best Friend?,FALSE,FALSE,FALSE,"5,850"
Where did Elizabeth Brooke (1503–1560)'s husband study at?,FALSE,FALSE,FALSE,"5,939"
"Which film has the director born first, Viva Knievel! or Maria Marten, Or The Murder In The Red Barn?",TRUE,TRUE,TRUE,"4,497"
Who is the father-in-law of Chiang Fang-Liang?,TRUE,FALSE,TRUE,"7,360"
"What is the date of death of Andrew, Duke Of Slavonia's father?",FALSE,FALSE,FALSE,"4,185"
"Who is Charles Gordon, 2Nd Earl Of Aboyne's paternal grandmother?",FALSE,FALSE,FALSE,"4,264"
"Which film came out earlier, Hell And Mr. Fudge or Yes Or No??",TRUE,TRUE,TRUE,"5,491"
Do director of film Father'S Day (1996 Film) and director of film The Pursuit Of Happiness (1971 Film) have the same nationality?,FALSE,TRUE,FALSE,"4,141"
"Which country John Ii, Duke Of Lorraine's father is from?",FALSE,FALSE,FALSE,"6,000"
"Are both movies, Don'T Bet On Blondes and The Empress And I, from the same country?",FALSE,FALSE,FALSE,"5,078"
"Which film has the director who died earlier, Lassie Come Home or Prairie Thunder?",FALSE,FALSE,FALSE,"4,155"
"Which film has the director who died earlier, Everything'S Ducky or Karthika (Film)?",TRUE,TRUE,TRUE,"4,171"
"Who was born first, Jörn Lenz or Alejandro Romualdo?",TRUE,TRUE,TRUE,"5,191"
"Which film has the director who was born first, Throw Momma From The Train or Dona Mariquita Of My Heart?",TRUE,TRUE,FALSE,"5,540"
"Who is the paternal grandfather of Amadeus Viii, Duke Of Savoy?",FALSE,FALSE,FALSE,"4,356"
Who is the mother-in-law of Maria Caroline Gibert De Lametz?,FALSE,FALSE,FALSE,"7,317"
Where did the director of film Crd (Film) study?,FALSE,FALSE,FALSE,"4,374"
"What is the date of death of George Feilding, 1St Earl Of Desmond's father?",TRUE,TRUE,FALSE,"4,038"
Where was the director of film The Messenger (2009 Film) born?,FALSE,FALSE,FALSE,"4,399"
Where was the place of death of Amaury De Montfort (Died 1241)'s father?,TRUE,TRUE,TRUE,"5,159"
Where was the father of R. Whidden Ganong born?,FALSE,FALSE,FALSE,"5,174"
"Which film was released more recently, Morchha or The Thing About My Folks?",TRUE,TRUE,TRUE,"4,234"
Who is Rameshwari Nehru's father-in-law?,FALSE,FALSE,FALSE,"4,881"
"Which film has the director who is older, See Naples And Die or Season Of Strangers?",FALSE,FALSE,FALSE,"7,025"
Who is the paternal grandmother of Archduchess Dolores Of Austria?,FALSE,FALSE,FALSE,"4,083"
What is the place of birth of Mi Saw U's father?,FALSE,FALSE,FALSE,"6,245"
Where did Francis W. Rockwell's father study?,TRUE,TRUE,TRUE,"5,306"
"Are the movies Amy (2015 Film) and Manhattan Angel, from the same country?",FALSE,TRUE,FALSE,"5,248"
What nationality is the director of film The Shark (1920 Film)?,FALSE,FALSE,FALSE,"4,421"
Where was the place of death of Helena (Empress)'s husband?,TRUE,TRUE,TRUE,"7,053"
"Which film has the director who was born later, Borsalino & Co. or Köpekler Adası?",FALSE,TRUE,TRUE,"5,307"
What nationality is the director of film Muvva Gopaludu?,TRUE,TRUE,TRUE,"4,733"
Where did the director of film Temptation (1959 Film) die?,TRUE,TRUE,TRUE,"4,110"
"Which film has the director who was born first, Hanuman Patal Vijay or Young And Dangerous: The Prequel?",TRUE,TRUE,TRUE,"5,611"
Who is Coirpre Mac Fogartaig's paternal grandfather?,FALSE,FALSE,FALSE,"4,707"
"Where did Elisabeth Of Hesse, Electress Palatine's mother die?",TRUE,TRUE,TRUE,"5,428"
"Who was born first, Brodie Croft or Saad Abdulrahman?",TRUE,TRUE,TRUE,"4,643"
"Where did Joanna, Duchess Of Durazzo's mother die?",FALSE,FALSE,FALSE,"4,678"
Where was the performer of song Get A Life – Get Alive born?,FALSE,FALSE,FALSE,"7,724"
"Which film has the director born earlier, Pieces Of A Woman or Oriental Nights?",TRUE,TRUE,TRUE,"5,382"
"Who is the paternal grandfather of Thomas Beaufort, Count Of Perche?",FALSE,FALSE,FALSE,"4,846"
Where did Martha Bulloch Roosevelt's husband die?,FALSE,FALSE,FALSE,"6,785"
Who is the maternal grandfather of Prince Christian Of Hesse?,FALSE,FALSE,TRUE,"4,645"
"Are the bands Knuckle Puck and Aqua (Band), from the same country?",FALSE,FALSE,FALSE,"6,532"
"Who was born earlier, Marco Bortolami or Yan Yan Chan?",TRUE,TRUE,TRUE,"6,308"
What nationality is the composer of song Inescapable (Song)?,FALSE,FALSE,FALSE,"5,692"
"Which film has the director who died earlier, You'Re Missing The Point or La Figliastra?",FALSE,FALSE,FALSE,"5,160"
Who is Konrad Iii The Old's paternal grandfather?,FALSE,FALSE,FALSE,"5,351"
"Which film has the director who was born later, Maneater Of Hydra or The Fighting Seabees?",TRUE,TRUE,FALSE,"5,750"
Who is the paternal grandfather of Nia Segamain?,FALSE,FALSE,FALSE,"4,254"
Where does Philip Goodhart's father work at?,TRUE,TRUE,FALSE,"5,628"
"Who was born later, Jean Daninos or Lincoln Kilpatrick Jr.?",TRUE,TRUE,TRUE,"6,118"
Which country Chu Lingyuan's husband is from?,TRUE,TRUE,TRUE,"7,764"
Which country Eugenia Livanos's husband is from?,FALSE,FALSE,FALSE,"6,197"
"Who is Sancha Of Castile, Queen Of Aragon's paternal grandmother?",FALSE,FALSE,FALSE,"4,215"
Where did the director of film Defilada graduate from?,TRUE,TRUE,TRUE,"4,162"
"Which film has the director born first, The Ugly Ones or Practical Jokers?",TRUE,TRUE,TRUE,"5,648"
"Which film has the director who is older, Cry Of The Hunted or Salvage With A Smile?",TRUE,TRUE,TRUE,"4,787"
"Which film was released more recently, Singapore Dreaming or Gray Lady Down?",TRUE,TRUE,TRUE,"5,303"
"Who lived longer, Motu Hafoka or Wilhelm Meise?",TRUE,FALSE,FALSE,"5,217"
Who is the paternal grandmother of Seleucus V Philometor?,FALSE,FALSE,FALSE,"5,047"
"Which film has the director who is older than the other, Ebar Shabor or Circle Of Deception? ",TRUE,TRUE,TRUE,"4,460"
"Are the movies Je Suis Né D'Une Cigogne and La Chair De L'Orchidée, from the same country?",TRUE,TRUE,TRUE,"5,552"
"Which film has the director who died later, Searchlight On Japan or Beauties Of The Night?",TRUE,TRUE,TRUE,"7,761"
Who is Sirikitiya Jensen's maternal grandmother?,FALSE,FALSE,FALSE,"5,793"
"Who is Hermann, Prince Of Hohenlohe-Langenburg's paternal grandfather?",FALSE,FALSE,FALSE,"4,584"
